Shopify #,Top 44,Description,Report Text,Product Line Description,Report Code Description,Unit of Measure,Country of origin,Qty,Use with,Vendor Compatible,NEO Prod Group,NIBP Tubing,NIBP Material,NIBP Size,NIBP Fitting,Long Marketing Description,Related Accessories,Consumable Type,Limb Circumference,CE Mark,GTIN,DEHP Free,PVC Free,Latex Free,Sterile
1,714-0018-00,"NIBP,HOSE ASSY,ADULT,QUICK RELEASE                ",NIBP                                              ,NIBP Accessories                                  ,NIBP Accessories (Spacelabs)                      ,EA,USA                         ,1,91496/90496,No,No,single,Polyurethane,9ft hose,Female to Female Bayonet IEC 80369-5 compliant,"For use with Spacelabs monitoring systems, the 9ft reusable NIBP hose interfaces between the monitor and the NIBP cuff.  The hose features a quick release bayonet connection at the monitor and at the cuff. The hose is validated for use with Spacelabs branded NIBP cuffs and accessories.  This product is latex free.",N/A,Reusable,N/A,Yes ,not required,Yes,Yes,Yes ,No
2,714-0019-01,"NIBP,HOSE ASSY,NEO.,QUICK RELEASE                 ",NIBP                                              ,NIBP Accessories                                  ,NIBP Accessories (Spacelabs)                      ,EA,USA                         ,1,91496/90496,No,Yes,single,Polyurethane,9ft hose,Male Bayonet IEC 80369-05 compliant to Female Slip-Fit Micro-Taper,"For use with Spacelabs monitoring systems, the 9ft reusable NIBP hose interfaces between the monitor and the neonatal cuff.  The hose features a quick release bayonet connection at the monitor and a micro-taper slip-fit connection at the cuff.  For use with Spacelabs family of neonatal cuffs only.  This product is latex free.",N/A,Reusable,N/A,Yes ,not required,Yes,Yes,Yes ,No
3,NN1ST-M316-10,"BP CUFF,SC FABRIC NEO,1T,SIZE 1,3-6CM,M316,10/BX  ",NIBP                                              ,NIBP Cuffs (UltraCheck & SoftCheck)               ,SoftCheck Disposable Cuffs                        ,BX,MEX                         ,10,91496/90496,Yes,Yes,single,fabric disposable,Neonatal size 1,Male Slip-Fit Micro-Taper,"SoftCheck disposable fabric cuffs provide an economical and patient friendly solution for your NIBP measurement needs.  SoftCheck cuffs feature a super-soft Sontara fabric which is comfortable, helps reduce perspiration under the cuff, and is durable for long patient stays.  Available in 5 neonatal sizes, SoftCheck cuffs not only provide a wide range of options for correct readings, but also help promote infection control with their single-patient use application.",714-0019-01,Single Patient Use,3-6 cm,Yes,3.08415E+13,Yes,No,Yes ,No
4,NN2ST-M316-10,"BP CUFF,SC FABRIC NEO,1T,SIZE 2,4-8CM,M316,10/BX  ",NIBP                                              ,NIBP Cuffs (UltraCheck & SoftCheck)               ,SoftCheck Disposable Cuffs                        ,BX,MEX                         ,10,91496/90496,Yes,Yes,single,fabric disposable,Neonatal size 2,Male Slip-Fit Micro-Taper,"SoftCheck disposable fabric cuffs provide an economical and patient friendly solution for your NIBP measurement needs.  SoftCheck cuffs feature a super-soft Sontara fabric which is comfortable, helps reduce perspiration under the cuff, and is durable for long patient stays.  Available in 5 neonatal sizes, SoftCheck cuffs not only provide a wide range of options for correct readings, but also help promote infection control with their single-patient use application.",714-0019-01,Single Patient Use,4-8 cm,Yes,3.08415E+13,Yes,No,Yes ,No
5,NN3ST-M316-10,"BP CUFF,SC FABRIC NEO,1T,SZ 3,6-11CM,M316,10/BX   ",NIBP                                              ,NIBP Cuffs (UltraCheck & SoftCheck)               ,SoftCheck Disposable Cuffs                        ,BX,MEX                         ,10,91496/90496,Yes,Yes,single,fabric disposable,Neonatal size 3,Male Slip-Fit Micro-Taper,"SoftCheck disposable fabric cuffs provide an economical and patient friendly solution for your NIBP measurement needs.  SoftCheck cuffs feature a super-soft Sontara fabric which is comfortable, helps reduce perspiration under the cuff, and is durable for long patient stays.  Available in 5 neonatal sizes, SoftCheck cuffs not only provide a wide range of options for correct readings, but also help promote infection control with their single-patient use application.",714-0019-01,Single Patient Use,6-11 cm,Yes,3.08415E+13,Yes,No,Yes ,No
6,NN4ST-M316-10,"BP CUFF,SC FABRIC NEO,1T,SZ 4,7-13CM,M316,10/BX   ",NIBP                                              ,NIBP Cuffs (UltraCheck & SoftCheck)               ,SoftCheck Disposable Cuffs                        ,BX,MEX                         ,10,91496/90496,Yes,Yes,single,fabric disposable,Neonatal size 4,Male Slip-Fit Micro-Taper,"SoftCheck disposable fabric cuffs provide an economical and patient friendly solution for your NIBP measurement needs.  SoftCheck cuffs feature a super-soft Sontara fabric which is comfortable, helps reduce perspiration under the cuff, and is durable for long patient stays.  Available in 5 neonatal sizes, SoftCheck cuffs not only provide a wide range of options for correct readings, but also help promote infection control with their single-patient use application.",714-0019-01,Single Patient Use,7-13 cm,Yes,3.08415E+13,Yes,No,Yes ,No
7,NN5ST-M316-10,"BP CUFF,SC FABRIC NEO,1T,SZ 5,8-15CM,M316,10/BX   ",NIBP                                              ,NIBP Cuffs (UltraCheck & SoftCheck)               ,SoftCheck Disposable Cuffs                        ,BX,MEX                         ,10,91496/90496,Yes,Yes,single,fabric disposable,Neonatal size 5,Male Slip-Fit Micro-Taper,"SoftCheck disposable fabric cuffs provide an economical and patient friendly solution for your NIBP measurement needs.  SoftCheck cuffs feature a super-soft Sontara fabric which is comfortable, helps reduce perspiration under the cuff, and is durable for long patient stays.  Available in 5 neonatal sizes, SoftCheck cuffs not only provide a wide range of options for correct readings, but also help promote infection control with their single-patient use application.",714-0019-01,Single Patient Use,8-15 cm,Yes,3.08415E+13,Yes,No,Yes ,No
8,ST0814HP-05,"BP CUFF,SC FABRIC,1T,INFANT,8-14CM,HP,5/BG        ",NIBP                                              ,NIBP Cuffs (UltraCheck & SoftCheck)               ,SoftCheck Disposable Cuffs                        ,BG,MEX                         ,5,91496/90496,Yes,No,single,fabric disposable,Infant,Male Bayonet IEC 80369-5 compliant,"SoftCheck disposable fabric cuffs provide an economical and patient friendly solution for your NIBP measurement needs.  SoftCheck cuffs feature a super-soft Sontara fabric which is comfortable, helps reduce perspiration under the cuff, and is durable for long patient stays.  Available in 8 sizes, SoftCheck cuffs not only provide a wide range of options for correct readings, but also help promote infection control with their single-patient use application.",714-0018-00,Single Patient Use,8-14 cm,Yes,3.08415E+13,Yes,No,Yes ,No
9,ST1320HP-05,"BP CUFF,SC FABRIC,1T,CHILD,13-20CM,HP,5/BG        ",NIBP                                              ,NIBP Cuffs (UltraCheck & SoftCheck)               ,SoftCheck Disposable Cuffs                        ,BG,MEX                         ,5,91496/90496,Yes,No,single,fabric disposable,Child,Male Bayonet IEC 80369-5 compliant,"SoftCheck disposable fabric cuffs provide an economical and patient friendly solution for your NIBP measurement needs.  SoftCheck cuffs feature a super-soft Sontara fabric which is comfortable, helps reduce perspiration under the cuff, and is durable for long patient stays.  Available in 8 sizes, SoftCheck cuffs not only provide a wide range of options for correct readings, but also help promote infection control with their single-patient use application.",714-0018-00,Single Patient Use,13-20 cm,Yes,3.08415E+13,Yes,No,Yes ,No
10,ST1826HP-05,"BP CUFF,SC FABRIC,1T,SM.ADULT,18-26CM,HP,5/BG     ",NIBP                                              ,NIBP Cuffs (UltraCheck & SoftCheck)               ,SoftCheck Disposable Cuffs                        ,BG,MEX                         ,5,91496/90496,Yes,No,single,fabric disposable,Small Adult,Male Bayonet IEC 80369-5 compliant,"SoftCheck disposable fabric cuffs provide an economical and patient friendly solution for your NIBP measurement needs.  SoftCheck cuffs feature a super-soft Sontara fabric which is comfortable, helps reduce perspiration under the cuff, and is durable for long patient stays.  Available in 8 sizes, SoftCheck cuffs not only provide a wide range of options for correct readings, but also help promote infection control with their single-patient use application.",714-0018-00,Single Patient Use,18-26 cm,Yes,3.08415E+13,Yes,No,Yes ,No
